iter	RMSE
129	1.875508935
130	1.873949927
131	1.872448317
132	1.870608364
133	1.869098571
134	1.867558107
135	1.865999682
136	1.864412406
137	1.862956717
138	1.861401962
139	1.859981339
140	1.858539066
141	1.857132349
142	1.855769339
143	1.854421767
144	1.853001735
145	1.8516658
146	1.850105095
147	1.848756784
148	1.847371952
149	1.846153312
150	1.84457948
151	1.843358194
152	1.842109187
153	1.840776442
154	1.839476242
155	1.838194744
156	1.836824255
157	1.835662773
158	1.834046614
159	1.832990772
160	1.831709502
161	1.830527877
162	1.829352677
163	1.827952556
164	1.826786793
165	1.825604018
166	1.824526792
167	1.823129939
168	1.82213473
169	1.821041153
170	1.820021904
171	1.818920371
172	1.81790917
173	1.816644066
174	1.815649151
175	1.81465702
176	1.813634201
177	1.812534144
178	1.811502924
179	1.810478258
180	1.809451914
181	1.808466241
182	1.807517064
183	1.806552847
184	1.805615796
185	1.80470104
186	1.803384636
187	1.802347979
188	1.801400095
189	1.800443157
190	1.799605037
191	1.798698304
192	1.797792014
193	1.796759535
194	1.79586556
195	1.794943202
196	1.794093892
197	1.793271963
198	1.792415017
199	1.791608412
200	1.790779938
201	1.790004546
202	1.789152631
203	1.788025544
204	1.78719416
205	1.786319261
206	1.785515393
207	1.784678596
208	1.783830676
209	1.783044229
210	1.782241125
211	1.781482211
212	1.780698616
213	1.779967606
214	1.77922
215	1.778523492
216	1.777729163
217	1.776879201
218	1.776115967
219	1.775212988
220	1.774443279
221	1.773552254
222	1.772837808
223	1.771632013
224	1.770909269
225	1.770241203
226	1.769571942
227	1.7689
228	1.768212619
229	1.767510426
230	1.766854618
231	1.766039663
232	1.765419502
233	1.764727648
234	1.76401849
235	1.763196744
236	1.762495079
237	1.761858579
238	1.761120348
239	1.760477733
240	1.759703554
241	1.759082856
242	1.758377897
243	1.757737693
244	1.756963635
245	1.756329011
246	1.755706187
247	1.754894288
248	1.754284444
249	1.753693911
250	1.753048477
251	1.752445792
252	1.751837971
253	1.751200052
254	1.750447816
255	1.749876726
256	1.749264126
257	1.748516148
258	1.747997062
259	1.747418841
260	1.746521132
261	1.745884787
262	1.74533593
263	1.744770091
264	1.744217218
265	1.743415039
266	1.742848828
267	1.742103013
268	1.741572879
269	1.740918222
270	1.740341616
271	1.739785616
272	1.739210402
273	1.738658381
274	1.737881474
275	1.737371602
276	1.736855562
277	1.736304839
278	1.735715572
279	1.735063338
280	1.734545276
281	1.73400294
282	1.733484708
283	1.732810394
284	1.732256672
285	1.731753626
286	1.731254512
287	1.730777875
288	1.730323238
289	1.72984335
290	1.729231911
291	1.728774225
292	1.728319184
293	1.727740922
294	1.727244024
295	1.726782454
296	1.726235538
297	1.725740721
298	1.725310263
299	1.724540859
300	1.72377936
301	1.723087828
302	1.722551924
303	1.722020045
304	1.721548263
305	1.721043603
306	1.720582775
307	1.720038883
308	1.719444866
309	1.71897697
310	1.71856057
311	1.718063843
312	1.717579336
313	1.717117903
314	1.716736492
315	1.716187802
316	1.715779551
317	1.715368919
318	1.714900404
319	1.714468816
320	1.714007575
321	1.713597237
322	1.713128769
323	1.71268497
324	1.712129255
325	1.711693971
326	1.711262243
327	1.710855149
328	1.710293585
329	1.709849455
330	1.709405946
331	1.708852735
332	1.708340272
333	1.70789161
334	1.70748601
335	1.707057578
336	1.706593634
337	1.706157827
338	1.705718648
339	1.704944391
340	1.704528539
341	1.703784678
342	1.703421063
343	1.702864833
344	1.702474398
345	1.702007586
346	1.701618061
347	1.701206836
348	1.700825646
349	1.700245841
350	1.69986048
351	1.699450201
352	1.699041765
353	1.698652309
354	1.698209108
355	1.697784353
356	1.697381822
357	1.696985372
358	1.696625909
359	1.696157754
360	1.69569781
361	1.695190854
362	1.694653191
363	1.694274993
364	1.693863087
365	1.693274654
366	1.692913168
367	1.692450359
368	1.692033034
369	1.69151579
370	1.691131738
371	1.690773018
372	1.690396028
373	1.690061982
374	1.689599545
375	1.689228282
376	1.688861836
377	1.688457949
378	1.688064092
379	1.687654283
380	1.687302325
381	1.686986346
382	1.686289949
383	1.685925653
384	1.685578951
385	1.685136896
386	1.684709352
387	1.68435274
388	1.683732714
389	1.683337121
390	1.68296742
391	1.682391244
392	1.68193607
393	1.681574661
394	1.681171874
395	1.680649461
396	1.680305148
397	1.679953891
398	1.679420482
399	1.679048536
400	1.67851321
401	1.678181096
402	1.677849849
403	1.677511107
404	1.677142652
405	1.676527153
406	1.676203317
407	1.675852228
408	1.675436705
409	1.675064508
410	1.674732331
411	1.674123462
412	1.673703441
413	1.67334084
414	1.672954358
415	1.672569261
416	1.672078935
417	1.671746136
418	1.671372181
419	1.670788547
420	1.67037737
421	1.670059804
422	1.669620799
423	1.669250149
424	1.668934763
425	1.668621976
426	1.66826246
427	1.66790047
428	1.667438959
429	1.667098103
430	1.66676423
431	1.666150694
432	1.665751718
433	1.665217997
434	1.664750669
435	1.664321595
436	1.663949236
437	1.663588902
438	1.663138622
439	1.662813543
440	1.66244629
441	1.6620997
442	1.661695342
443	1.661387549
444	1.660818615
445	1.660420247
446	1.659986734
447	1.659632505
448	1.659179811
449	1.658666228
450	1.658248138
451	1.657927755
452	1.657412926
453	1.657045493
454	1.656713022
455	1.65620948
456	1.655665344
457	1.655338935
458	1.654794608
459	1.654470471
460	1.654163506
461	1.653757432
462	1.653322818
463	1.652874571
464	1.652524355
465	1.652110811
466	1.651618902
467	1.651277414
468	1.650768053
469	1.650371344
470	1.650078003
471	1.649784846
472	1.64940687
473	1.64890773
474	1.648593809
475	1.648282358
476	1.647930732
477	1.647566856
478	1.647080842
479	1.646780396
480	1.646413227
481	1.646096397
482	1.645727272
483	1.645436369
484	1.645111186
485	1.644835284
486	1.644330549
487	1.64399347
488	1.643480927
489	1.643171065
490	1.642712611
491	1.642412091
492	1.642010427
493	1.641680322
494	1.641295183
495	1.64096638
496	1.640562148
497	1.640242443
498	1.639964448
499	1.639604031
500	1.639224144
501	1.638828309
502	1.638525239
503	1.638207094
504	1.637785772
505	1.637406732
506	1.637063916
507	1.636706065
508	1.636419344
509	1.636033366
510	1.635563351
511	1.635085265
512	1.634739375
513	1.634474417
514	1.634211333
515	1.633911784
516	1.633655798
517	1.63315834
518	1.632891554
519	1.632577568
520	1.632186596
521	1.631876354
522	1.631462755
523	1.631187332
524	1.630907274
525	1.630545499
526	1.630240421
527	1.629894244
528	1.629461671
529	1.629110432
530	1.62885964
531	1.62849912
532	1.628158632
533	1.627806973
534	1.627516636
535	1.627198475
536	1.626950878
537	1.626662707
538	1.626254838
539	1.625909002
540	1.625595582
541	1.625282042
542	1.625024853
543	1.624751623
544	1.624435843
545	1.623960898
546	1.623603216
547	1.623288393
548	1.622908121
549	1.622533481
550	1.622233046
551	1.621884659
552	1.621609134
553	1.621317193
554	1.621054692
555	1.620751061
556	1.620380207
557	1.620124295
558	1.619896841
559	1.619571503
560	1.619266224
561	1.619016952
562	1.618703037
563	1.618448361
564	1.618182721
565	1.617795968
566	1.617547426
567	1.617151885
568	1.61680153
569	1.616489653
570	1.616110195
571	1.615690163
572	1.615355425
573	1.615100106
574	1.614800073
575	1.614437229
576	1.614145874
577	1.613849889
578	1.613589199
579	1.61334008
580	1.613068294
581	1.612734779
582	1.612437605
583	1.612109993
584	1.611802363
585	1.611569348
586	1.611336196
587	1.610962505
588	1.610622741
589	1.610364629
590	1.610129122
591	1.609887172
592	1.609649112
593	1.609393389
594	1.609134224
595	1.608785474
596	1.608518156
597	1.608286205
598	1.608002199
599	1.60772275
600	1.607425506
601	1.607130416
602	1.606879394
603	1.606625264
604	1.606414805
605	1.606111604
606	1.605868083
607	1.605585637
608	1.605212011
609	1.604941449
610	1.604584527
611	1.604357818
612	1.604140374
613	1.603776254
614	1.603493509
615	1.603113234
616	1.602756918
617	1.602514635
618	1.602233541
619	1.601956503
620	1.601718103
621	1.601491172
622	1.601195754
623	1.600897596
624	1.600638395
625	1.600315663
626	1.600045303
627	1.599685494
628	1.599443621
629	1.599174589
630	1.598891679
631	1.59857516
632	1.598266635
633	1.598046867
634	1.597794438
635	1.597467696
636	1.597202443
637	1.59688966
638	1.59664978
639	1.596383198
640	1.596150252
641	1.595905171
642	1.595605157
643	1.595385837
644	1.595126494
645	1.594819966
646	1.594589635
647	1.594307029
648	1.594098821
649	1.593823911
650	1.593523974
651	1.593322924
652	1.593073046
653	1.592829089
654	1.592584548
655	1.592357182
656	1.591919065
657	1.591676148
658	1.591409256
659	1.591154593
660	1.59090334
661	1.590624772
662	1.590361632
663	1.590093163
664	1.589904641
665	1.589694135
666	1.589482432
667	1.589227255
668	1.589006479
669	1.588700055
670	1.588466404
671	1.588202899
672	1.587925373
673	1.587731952
674	1.587434227
675	1.587171837
676	1.586921337
677	1.586695324
678	1.586439961
679	1.586109443
680	1.585837066
681	1.585630383
682	1.585430305
683	1.585200515
684	1.585005364
685	1.584779299
686	1.58452491
687	1.584230734
688	1.584051112
689	1.583834128
690	1.583639841
691	1.583367363
692	1.583077473
693	1.582882533
694	1.58268993
695	1.582444437
696	1.582202406
697	1.581926299
698	1.581597927
699	1.581383283
700	1.581167066
701	1.580890494
702	1.58063358
703	1.580435564
704	1.580134608
705	1.579907874
706	1.579619579
707	1.579440198
708	1.57924763
709	1.579054814
710	1.578789019
711	1.578559745
712	1.578378145
713	1.578165741
714	1.57794077
715	1.577705145
716	1.577428001
717	1.577223128
718	1.577010397
719	1.576791475
720	1.57660369
721	1.576437505
722	1.576182916
723	1.575910329
724	1.575707336
725	1.575534974
726	1.575289569
727	1.575009862
728	1.574729841
729	1.574542264
730	1.574353713
731	1.574161863
732	1.573932237
733	1.573678191
734	1.57349412
735	1.573311515
736	1.573123207
737	1.572899227
738	1.572668225
739	1.572432072
740	1.57222594
741	1.572005138
742	1.571825279
743	1.571659301
744	1.571468778
745	1.571275014
746	1.57107358
747	1.570884899
748	1.570701353
749	1.570478734
750	1.570269055
751	1.570074472
752	1.569896643
753	1.569723838
754	1.569469918
755	1.569189494
756	1.568927016
757	1.568717756
758	1.568536865
759	1.568360529
760	1.568099602
761	1.567884317
762	1.567694072
763	1.567522066
764	1.567257537
765	1.567040317
766	1.566824585
767	1.56652669
768	1.566345538
769	1.566166718
770	1.565921277
771	1.565757687
772	1.565586552
773	1.565442051
774	1.565247235
775	1.565014302
776	1.564803432
777	1.564500295
778	1.564313936
779	1.564087117
780	1.563913444
781	1.563719939
782	1.563508592
783	1.563344215
784	1.563154408
785	1.562976107
786	1.562802923
787	1.562508158
788	1.562358068
789	1.562203367
790	1.56204765
791	1.561823493
792	1.561635594
793	1.561474321
794	1.561279688
795	1.561111022
796	1.560962467
797	1.56074249
798	1.560482655
799	1.560286847
