iter	Passed	Remaining
398	89968	90419
399	90186	90186
400	90418	89967
401	90635	89733
402	90838	89486
403	91045	89242
404	91258	89005
405	91517	88812
406	91738	88582
407	91951	88345
408	92164	88108
409	92409	87901
410	92607	87650
411	92882	87471
412	93103	87242
413	93306	86995
414	93528	86767
415	93749	86537
416	93963	86302
417	94184	86072
418	94406	85844
419	94684	85666
420	94904	85436
421	95117	85199
422	95335	84967
423	95559	84741
424	95788	84519
425	96010	84291
426	96221	84053
427	96424	83807
428	96692	83619
429	96905	83383
430	97134	83161
431	97365	82940
432	97580	82706
433	97829	82501
434	98066	82285
435	98301	82068
436	98508	81827
437	98738	81606
438	98983	81396
439	99210	81171
440	99429	80941
441	99667	80725
442	99903	80509
443	100129	80284
444	100359	80062
445	100561	79817
446	100795	79599
447	101021	79373
448	101282	79176
449	101515	78956
450	101748	78736
451	101972	78510
452	102231	78309
453	102463	78088
454	102698	77870
455	102928	77647
456	103169	77433
457	103381	77197
458	103611	76974
459	103844	76754
460	104051	76515
461	104295	76302
462	104545	76094
463	104784	75878
464	105002	75647
465	105247	75435
466	105489	75220
467	105717	74996
468	105950	74774
469	106198	74564
470	106431	74343
471	106640	74106
472	106853	73871
473	107074	73642
474	107297	73414
475	107526	73190
476	107749	72962
477	107972	72734
478	108265	72553
479	108480	72320
480	108706	72094
481	108925	71863
482	109152	71638
483	109378	71412
484	109600	71184
485	109830	70960
486	110054	70733
487	110278	70506
488	110501	70277
489	110728	70052
490	110968	69835
491	111188	69605
492	111407	69375
493	111650	69160
494	111900	68949
495	112127	68723
496	112347	68493
497	112559	68258
498	112776	68027
499	112988	67793
500	113209	67564
501	113425	67332
502	113649	67105
503	113880	66882
504	114178	66698
505	114421	66481
506	114661	66263
507	114883	66035
508	115109	65809
509	115332	65581
510	115569	65361
511	115826	65152
512	116076	64939
513	116304	64713
514	116512	64477
515	116739	64251
516	116960	64022
517	117189	63797
518	117409	63568
519	117635	63342
520	117854	63112
521	118081	62886
522	118314	62663
523	118530	62432
524	118747	62201
525	118970	61973
526	119225	61762
527	119461	61540
528	119701	61321
529	119934	61098
530	120180	60882
531	120452	60678
532	120685	60456
533	120969	60258
534	121219	60043
535	121473	59830
536	121724	59615
537	121954	59390
538	122187	59166
539	122434	58949
540	122652	58719
541	122882	58493
542	123117	58270
543	123331	58038
544	123557	57811
545	123800	57592
546	124037	57370
547	124268	57145
548	124527	56933
549	124777	56717
550	125027	56500
551	125256	56274
552	125476	56044
553	125706	55819
554	125920	55586
555	126131	55352
556	126358	55126
557	126557	54886
558	126766	54652
559	127012	54433
560	127259	54215
561	127560	54020
562	127790	53794
563	128000	53560
564	128265	53349
565	128511	53130
566	128733	52901
567	129003	52691
568	129280	52484
569	129509	52258
570	129725	52026
571	129955	51800
572	130186	51574
573	130398	51341
574	130621	51112
575	130848	50885
576	131082	50661
577	131309	50433
578	131520	50200
579	131755	49976
580	131981	49748
581	132193	49515
582	132409	49284
583	132639	49058
584	132866	48831
585	133089	48602
586	133323	48377
587	133596	48167
588	133829	47942
589	134047	47711
590	134258	47479
591	134465	47244
592	134679	47012
593	134897	46782
594	135118	46553
595	135351	46328
596	135566	46097
597	135788	45868
598	136005	45637
599	136249	45416
600	136459	45183
601	136678	44953
602	136894	44723
603	137127	44498
604	137343	44267
605	137553	44035
606	137785	43809
607	137993	43576
608	138275	43367
609	138512	43143
610	138764	42923
611	139002	42700
612	139228	42472
613	139481	42253
614	139727	42031
615	139980	41812
616	140234	41593
617	140456	41364
618	140689	41138
619	140921	40912
620	141156	40687
621	141383	40460
622	141680	40252
623	141948	40036
624	142209	39818
625	142437	39591
626	142665	39363
627	142931	39146
628	143194	38928
629	143429	38703
630	143659	38476
631	143895	38250
632	144118	38021
633	144334	37791
634	144532	37555
635	144781	37333
636	145028	37110
637	145253	36882
638	145464	36650
639	145706	36426
640	145941	36200
641	146161	35971
642	146400	35746
643	146607	35513
644	146824	35283
645	147058	35057
646	147277	34827
647	147536	34607
648	147772	34381
649	147996	34153
650	148258	33933
651	148475	33703
652	148687	33471
653	148923	33245
654	149150	33018
655	149385	32791
656	149650	32572
657	149866	32341
658	150066	32108
659	150300	31882
660	150509	31650
661	150737	31422
662	150962	31194
663	151191	30967
664	151421	30739
665	151642	30510
666	151864	30281
667	152089	30053
668	152317	29825
669	152620	29612
670	152847	29384
671	153090	29160
672	153334	28935
673	153554	28706
674	153787	28479
675	154013	28250
676	154248	28024
677	154494	27799
678	154710	27569
679	154956	27345
680	155192	27118
681	155409	26888
682	155638	26661
683	155848	26430
684	156069	26201
685	156296	25973
686	156509	25743
687	156738	25515
688	156959	25286
689	157186	25058
690	157403	24829
691	157651	24604
692	157908	24381
693	158147	24155
694	158370	23926
695	158593	23697
696	158820	23469
697	159052	23242
698	159286	23015
699	159508	22786
700	159735	22558
701	160000	22336
702	160222	22107
703	160447	21879
704	160687	21652
705	160914	21424
706	161138	21196
707	161364	20968
708	161580	20738
709	161797	20509
710	162061	20286
711	162273	20056
712	162485	19826
713	162704	19597
714	162943	19370
715	163176	19143
716	163439	18919
717	163678	18693
718	163893	18463
719	164120	18235
720	164336	18006
721	164538	17775
722	164768	17547
723	164992	17319
724	165221	17091
725	165438	16862
726	165665	16634
727	165885	16406
728	166096	16176
729	166324	15948
730	166538	15719
731	166752	15490
732	166979	15262
733	167198	15034
734	167411	14805
735	167642	14577
736	167870	14349
737	168093	14121
738	168334	13894
739	168547	13665
740	168766	13437
741	168992	13209
742	169199	12980
743	169409	12751
744	169628	12522
745	169851	12294
746	170077	12067
747	170288	11838
748	170491	11608
749	170711	11380
750	170962	11154
751	171176	10926
752	171393	10697
753	171618	10470
754	171856	10243
755	172104	10016
756	172316	9788
757	172525	9559
758	172754	9331
759	172981	9104
760	173253	8878
761	173493	8651
762	173724	8424
763	173968	8197
764	174192	7969
765	174408	7741
766	174624	7513
767	174926	7288
768	175145	7060
769	175364	6832
770	175595	6604
771	175807	6376
772	176024	6148
773	176245	5920
774	176478	5692
775	176695	5464
776	176915	5236
777	177191	5010
778	177425	4782
779	177642	4554
780	177860	4326
781	178075	4098
782	178301	3871
783	178507	3643
784	178733	3415
785	178952	3187
786	179172	2959
787	179422	2732
788	179647	2504
789	179884	2277
790	180103	2049
791	180337	1821
792	180570	1593
793	180789	1366
794	181018	1138
795	181236	910
796	181455	683
797	181686	455
798	181909	227
799	182136	0
